year,world_population,net_change,density
[],[],[],[]
['2020'],"['7,794,798,739']",['1.05 %'],"['81,330,639']"
['2019'],"['7,713,468,100']",['1.08 %'],"['82,377,060']"
['2018'],"['7,631,091,040']",['1.10 %'],"['83,232,115']"
['2017'],"['7,547,858,925']",['1.12 %'],"['83,836,876']"
['2016'],"['7,464,022,049']",['1.14 %'],"['84,224,910']"
['2015'],"['7,379,797,139']",['1.16 %'],"['84,506,374']"
['2014'],"['7,295,290,765']",['1.17 %'],"['84,708,789']"
['2013'],"['7,210,581,976']",['1.19 %'],"['84,753,917']"
['2012'],"['7,125,828,059']",['1.20 %'],"['84,633,758']"
['2011'],"['7,041,194,301']",['1.21 %'],"['84,370,698']"
['2010'],"['6,956,823,603']",['1.22 %'],"['84,056,510']"
['2009'],"['6,872,767,093']",['1.23 %'],"['83,678,407']"
['2008'],"['6,789,088,686']",['1.24 %'],"['83,142,076']"
['2007'],"['6,705,946,610']",['1.24 %'],"['82,428,777']"
['2006'],"['6,623,517,833']",['1.25 %'],"['81,610,806']"
['2005'],"['6,541,907,027']",['1.25 %'],"['80,747,638']"
['2004'],"['6,461,159,389']",['1.25 %'],"['79,974,275']"
['2003'],"['6,381,185,114']",['1.26 %'],"['79,411,926']"
['2002'],"['6,301,773,188']",['1.27 %'],"['79,146,582']"
['2001'],"['6,222,626,606']",['1.29 %'],"['79,132,783']"
['2000'],"['6,143,493,823']",['1.31 %'],"['79,254,768']"
['1999'],"['6,064,239,055']",['1.33 %'],"['79,445,113']"
['1998'],"['5,984,793,942']",['1.35 %'],"['79,748,154']"
['1997'],"['5,905,045,788']",['1.38 %'],"['80,153,837']"
['1996'],"['5,824,891,951']",['1.40 %'],"['80,678,972']"
['1995'],"['5,744,212,979']",['1.43 %'],"['81,062,552']"
['1994'],"['5,663,150,427']",['1.46 %'],"['81,552,881']"
['1993'],"['5,581,597,546']",['1.50 %'],"['82,677,737']"
['1992'],"['5,498,919,809']",['1.56 %'],"['84,630,365']"
['1991'],"['5,414,289,444']",['1.63 %'],"['87,058,383']"
['1990'],"['5,327,231,061']",['1.71 %'],"['89,789,503']"
['1989'],"['5,237,441,558']",['1.79 %'],"['92,015,550']"
['1988'],"['5,145,426,008']",['1.84 %'],"['92,903,861']"
['1987'],"['5,052,522,147']",['1.85 %'],"['91,954,235']"
['1986'],"['4,960,567,912']",['1.84 %'],"['89,646,172']"
['1985'],"['4,870,921,740']",['1.82 %'],"['86,910,119']"
['1984'],"['4,784,011,621']",['1.80 %'],"['84,442,317']"
['1983'],"['4,699,569,304']",['1.78 %'],"['82,182,762']"
['1982'],"['4,617,386,542']",['1.77 %'],"['80,389,780']"
['1981'],"['4,536,996,762']",['1.77 %'],"['78,993,248']"
['1980'],"['4,458,003,514']",['1.77 %'],"['77,497,414']"
['1979'],"['4,380,506,100']",['1.76 %'],"['75,972,599']"
['1978'],"['4,304,533,501']",['1.77 %'],"['75,027,441']"
['1977'],"['4,229,506,060']",['1.80 %'],"['74,839,196']"
['1976'],"['4,154,666,864']",['1.84 %'],"['75,186,258']"
['1975'],"['4,079,480,606']",['1.89 %'],"['75,686,434']"
['1974'],"['4,003,794,172']",['1.94 %'],"['76,013,934']"
['1973'],"['3,927,780,238']",['1.98 %'],"['76,129,993']"
['1972'],"['3,851,650,245']",['2.01 %'],"['75,890,628']"
['1971'],"['3,775,759,617']",['2.04 %'],"['75,322,571']"
['1970'],"['3,700,437,046']",['2.06 %'],"['74,756,419']"
['1969'],"['3,625,680,627']",['2.09 %'],"['74,081,500']"
['1968'],"['3,551,599,127']",['2.09 %'],"['72,829,165']"
['1967'],"['3,478,769,962']",['2.08 %'],"['70,847,332']"
['1966'],"['3,407,922,630']",['2.05 %'],"['68,339,033']"
['1965'],"['3,339,583,597']",['2.00 %'],"['65,605,259']"
['1964'],"['3,273,978,338']",['1.96 %'],"['62,977,329']"
['1963'],"['3,211,001,009']",['1.92 %'],"['60,580,214']"
['1962'],"['3,150,420,795']",['1.89 %'],"['58,577,288']"
['1961'],"['3,091,843,507']",['1.87 %'],"['56,893,759']"
['1960'],"['3,034,949,748']",['1.86 %'],"['55,373,563']"
['1959'],"['2,979,576,185']",['1.84 %'],"['53,889,480']"
['1958'],"['2,925,686,705']",['1.82 %'],"['52,380,615']"
['1957'],"['2,873,306,090']",['1.80 %'],"['50,862,808']"
['1956'],"['2,822,443,282']",['1.78 %'],"['49,423,346']"
['1955'],"['2,773,019,936']",['1.77 %'],"['48,173,195']"
['1954'],"['2,724,846,741']",['1.76 %'],"['47,237,781']"
['1953'],"['2,677,608,960']",['1.78 %'],"['46,747,398']"
['1952'],"['2,630,861,562']",['1.81 %'],"['46,827,301']"
['1951'],"['2,584,034,261']",['1.88 %'],"['47,603,112']"
['1927'],"['2,000,000,000']",[' '],[' ']
['1900'],"['1,600,000,000']",[' '],[' ']
['1850'],"['1,200,000,000']",[' '],[' ']
['1804'],"['1,000,000,000']",[' '],[' ']
['1760'],"['770,000,000']",[' '],[' ']
['1700'],"['610,000,000']",[' '],[' ']
['1600'],"['500,000,000']",[' '],[' ']
['1500'],"['450,000,000']",[' '],[' ']
['1400'],"['350,000,000']",[' '],[' ']
['1200'],"['360,000,000']",[' '],[' ']
['1100'],"['320,000,000']",[' '],[' ']
['1000'],"['275,000,000']",[' '],[' ']
['900'],"['240,000,000']",[' '],[' ']
['800'],"['220,000,000']",[' '],[' ']
['700'],"['210,000,000']",[' '],[' ']
['600'],"['200,000,000']",[' '],[' ']
['200'],"['190,000,000']",[' '],[' ']
['-200'],"['150,000,000']",[' '],[' ']
['-500'],"['100,000,000']",[' '],[' ']
['-1000'],"['50,000,000']",[' '],[' ']
['-2000'],"['27,000,000']",[' '],[' ']
['-3000'],"['14,000,000']",[' '],[' ']
['-4000'],"['7,000,000']",[' '],[' ']
['-5000'],"['5,000,000']",[' '],[' ']
